dbn,school_name,boro,location,phone_number,fax_number,school_email,website,subway,bus,total_students,start_time,end_time,primary_address_line_1,city,Postcode,state_code,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
29Q327,Eagle Academy for Young Men III,Q,"171-10 Linden Boulevard, Jamaica NY 11434(40.69172, -73.778924)",718-480-2600,718-480-2610,eagleacademy3@gmail.com,schools.nyc.gov/SchoolPortals/29/Q327,N/A,"Q111, Q113, Q114, Q4, Q42, Q5, Q84, Q85, X63",507,8:45am,4:45pm,171-10 Linden Boulevard,Jamaica,11434,NY,QUEENS   ,40.69172,-73.778924,12,27,432,4268543,4123930001,St. Albans                                                                 
09X543,High School for Violin and Dance,X,"1110 Boston Road, Bronx NY 10456(40.827455, -73.90392)",718-842-0687,718-589-9849,jabramo2@schools.nyc.gov,hsvd.org,"2, 5 to Intervale Ave","Bx13, Bx15, Bx17, Bx21, Bx35, Bx4, Bx41, Bx41-SBS, Bx4A, Bx6",288,8am,3pm,1110 Boston Road,Bronx,10456,NY,BRONX    ,40.82745,-73.90392,3,16,135,2004526,2026340001,Morrisania-Melrose                                                         
17K751,Academy for Health Careers,K,"150 Albany Avenue, Brooklyn NY 11213(40.675905, -73.939282)",718-773-0128,718-773-0648,dmartin8@schools.nyc.gov,schools.nyc.gov/SchoolPortals/17/K751,3 to Kingston Ave; A to Utica Ave; C to Kingston-Throop,"B15, B25, B26, B43, B44, B45, B46, B65",399,8:30am,2:45pm,150 Albany Avenue,Brooklyn,11213,NY,BROOKLYN ,40.675905,-73.939282,8,36,311,3030553,3012160046,Crown Heights North                                                        
13K595,Bedford Academy High School,K,"1119 Bedford Avenue, Brooklyn NY 11216(40.685486, -73.953692)",718-398-3061,718-636-3819,ptate@schools.nyc.gov,bedfordacademyhs.org,"A to Nostrand Ave; C, S to Franklin Ave; G to Bedford-Nostrand","B25, B26, B38, B43, B44, B44-SBS, B48, B49, B52",358,8am,4:15pm,1119 Bedford Avenue,Brooklyn,11216,NY,BROOKLYN ,40.685486,-73.953692,3,36,243,3329679,3018120001,Bedford                                                                    
03M494,High School of Arts and Technology,M,"122 Amsterdam Avenue, Manhattan NY 10023(40.774891, -73.985608)",212-501-1198,917-441-3693,info@artsandtech.net,schools.nyc.gov/SchoolPortals/03/M494,"1 to 66th St - Lincoln Center; 2, 3 to 72nd St; A, B, C, D to 59th St-Columbus Circle","BxM2, M10, M104, M11, M12, M20, M31, M5, M57, M66, M7, M72, X12, X14, X30, X42",542,8am,2:20pm,122 Amsterdam Avenue,Manhattan,10023,NY,MANHATTAN,40.774891,-73.985608,7,6,151,1030343,1011570025,Lincoln Square                                                             
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",X,"120 West 231st Street, Bronx NY 10463(40.875636, -73.901565)",718-432-6491,718-796-7051,10X237@schools.nyc.gov,schools.nyc.gov/SchoolPortals/10/X237,1 to 231st St,"Bx1, Bx10, Bx2, Bx20, Bx22, Bx26, Bx3, Bx32, Bx7, Bx9, BxM1, BxM18, BxM2, BxM3",533,8:10am,2:30pm,120 West 231st Street,Bronx,10463,NY,BRONX    ,40.875636,-73.901565,8,14,273,2015547,2032530141,Van Cortlandt Village                                                      
27Q260,Frederick Douglass Academy VI High School,Q,"8-21 Bay 25th Street, Far Rockaway NY 11691(40.601537, -73.763995)",718-471-2154,718-471-2890,cogundi@schools.nyc.gov,fdavi.org,A to Beach 25th St-Wavecrest,"Q114, Q22, QM17",344,8:20am,2:40pm,8-21 Bay 25th Street,Far Rockaway,11691,NY,QUEENS   ,40.601537,-73.763995,14,31,100802,4300730,4157360001,Far Rockaway-Bayswater                                                     
02M374,Gramercy Arts High School,M,"40 Irving Place, Manhattan NY 10003(40.735361, -73.987064)",212-253-7076,212-253-8095,sdicicco@schools.nyc.gov,gramercyhs.org,"1, 2, 3, F, M to 14th St - 6th Ave; 4, 5, 6, L, N, Q, R to 14th St-Union Square; L to 3rd Ave","BM1, BM2, BM3, BM4, BxM10, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M5, M7, M8, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9",534,8:20am,2:40pm,40 Irving Place,Manhattan,10003,NY,MANHATTAN,40.735361,-73.987064,6,2,50,1017828,1008720057,Gramercy                                                                   
10X565,High School for Energy and Technology,X,"2474 Crotona Avenue, Bronx NY 10458(40.855392, -73.882487)",718-733-3080,718-733-3085,hsenergytech@gmail.com,hsenergytech.org,N/A,"Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx22, Bx36, Bx9",412,8:16am,2:36pm,2474 Crotona Avenue,Bronx,10458,NY,BRONX    ,40.855392,-73.882487,6,15,393,2012887,2031040007,Belmont                                                                    
11X514,The Bronxwood Preparatory Academy,X,"921 East 228th Street, Bronx NY 10466(40.888242, -73.852714)",718-696-3820,718-696-3821,jgallar@schools.nyc.gov,schools.nyc.gov/SchoolPortals/11/X514,"2, 5 to 225th St","Bx31, Bx39, Bx8, BxM11",402,8am,3pm,921 East 228th Street,Bronx,10466,NY,BRONX    ,40.888242,-73.852714,12,12,404,2064589,2048640035,Williamsbridge-Olinville                                                   
23K697,Teachers Preparatory High School,K,"226 Bristol Street, Brooklyn NY 11212(40.665568, -73.912102)",718-498-2605,718-345-8069,CSimon6@schools.nyc.gov,Teachersprep.org,3 to Rockaway Ave,"B12, B14, B15, B60, B7",310,8:20am,2:40pm,226 Bristol Street,Brooklyn,11212,NY,BROOKLYN ,40.665568,-73.912102,16,41,924,3081419,3035410001,Brownsville                                                                
29Q248,Queens Preparatory Academy,Q,"143-10 Springfield Boulevard, Springfield Gardens NY 11413(40.66903, -73.757744)",718-712-2304,718-712-3273,thaywoo2@queensprepacademy.org,qpacademy.org,N/A,"Q3, Q77, Q85",480,8:15am,2:35pm,143-10 Springfield Boulevard,Springfield Gardens,11413,NY,QUEENS   ,40.66903,-73.757744,12,31,330,4280845,4130570056,Springfield Gardens North                                                  
02M305,"Urban Assembly Academy of Government and Law, The",M,"350 Grand Street, Manhattan NY 10002(40.717329, -73.989329)",212-505-0745,212-674-8021,ewoods@uaagl.org,uaagl.org,"B, D to Grand St; F, J, M, Z to Delancey St-Essex St","B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M9",316,8:32am,3:45pm,350 Grand Street,Manhattan,10002,NY,MANHATTAN,40.717329,-73.989329,3,1,18,1005283,1004080030,Chinatown                                                                  
01M509,Marta Valle High School,M,"145 Stanton Street, Manhattan NY 10002(40.72004, -73.986038)",212-473-8152,212-475-7588,RRivera60@schools.nyc.gov,martavalle.org,"B, D to Grand St; F, J, M, Z to Delancey St-Essex St","B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M8, M9",204,8am,2:20pm,145 Stanton Street,Manhattan,10002,NY,MANHATTAN,40.72004,-73.986038,3,1,3001,1004323,1003540080,Chinatown                                                                  
08X559,School for Tourism and Hospitality,X,"900 Tinton Avenue, Bronx NY 10456(40.821723, -73.902892)",718-401-4214,718-401-4219,agrafals2@schools.nyc.gov,schools.nyc.gov/SchoolPortals/08/X559,"2, 5 to Prospect Ave; 6 to Longwood Ave","Bx13, Bx15, Bx17, Bx21, Bx4, Bx46, Bx4A, Bx6",305,8:30am,3:15pm,900 Tinton Avenue,Bronx,10456,NY,BRONX    ,40.821723,-73.902892,3,17,133,2004807,2026680001,Morrisania-Melrose                                                         
19K683,"The School for Classics: An Academy of Thinkers, Writers and Performers",K,"370 Fountain Avenue, Brooklyn NY 11208(40.67002, -73.874537)",718-277-1069,718-277-1873,,schools.nyc.gov/SchoolPortals/19/K683,"A, C to Euclid Ave","B13, B14, B15, B20, BM5, Q7, Q8",313,8am,2:20pm,370 Fountain Avenue,Brooklyn,11208,NY,BROOKLYN ,40.67002,-73.874537,5,42,1118,3095977,3042780001,East New York                                                              
16K594,Gotham Professional Arts Academy,K,"265 Ralph Avenue, Brooklyn NY 11233(40.680239, -73.921099)",718-455-0746,718-574-3971,AWhite10@schools.nyc.gov,gothamacademy.org,A to Utica Ave; C to Ralph Ave; J to Halsey St,"B15, B25, B26, B45, B46, B46-SBS, B47, B65, B7",203,8:45am,3:05pm,265 Ralph Avenue,Brooklyn,11233,NY,BROOKLYN ,40.680239,-73.921099,3,41,379,3041214,3015180001,Stuyvesant Heights                                                         
08X452,Gotham Collaborative High School,X,"1980 Lafayette Avenue, Bronx NY 10473(40.821218, -73.85593)",718-597-1587,718-597-1371,DLiu2@schools.nyc.gov,schools.nyc.gov/SchoolPortals/08/X452,N/A,"Bx22, Bx27, Bx36, Bx39, Bx5, BxM8",619,8am,3pm,1980 Lafayette Avenue,Bronx,10473,NY,BRONX    ,40.82121,-73.85593,9,18,16,2022205,2036040039,Soundview-Castle Hill-Clason Point-Harding Park                            
09X525,Bronx Leadership Academy High School,X,"1710 Webster Avenue, Bronx NY 10457(40.84325, -73.902969)",718-299-4274,718-299-4707,iyip@schools.nyc.gov,bronxleadershipacademy.org,"B, D to 174th-175th Sts","Bx1, Bx11, Bx15, Bx17, Bx2, Bx32, Bx36, Bx40, Bx41, Bx41-SBS, Bx42, BxM4",651,8:40am,3:18pm,1710 Webster Avenue,Bronx,10457,NY,BRONX    ,40.84325,-73.902969,3,15,165,2094564,2028980001,Claremont-Bathgate                                                         
11X290,Bronx Academy of Health Careers,X,"800 East Gun Hill Road, Bronx NY 10467(40.875172, -73.861649)",718-696-3340,718-696-3380,DSantiago3@schools.nyc.gov,schools.nyc.gov/SchoolPortals/11/X290,"2, 5 to Gun Hill Rd","Bx28, Bx30, Bx38, Bx39, Bx41, Bx41-SBS, Bx8, BxM11",427,8:12am,2:32pm,800 East Gun Hill Road,Bronx,10467,NY,BRONX    ,40.875172,-73.861649,12,12,372,2057045,2046330040,Williamsbridge-Olinville                                                   
02M135,The Urban Assembly School for Emergency Management,M,"411 Pearl Street, Manhattan NY 10038(40.711441, -74.000851)",212-225-0998,212-225-0996,info@uasem.org,uasem.org,"1 to Chambers St; 2, 3, A, C to Fulton St-Broadway-Nassau; 4, 5, 6, J, Z to Brooklyn Bridge-City Hall; E to Park Place; N, Q to Canal St; R to City Hall","BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X4, X42, X5, X8",315,8am,2:50pm,411 Pearl Street,Manhattan,10038,NY,MANHATTAN,40.711441,-74.000851,1,1,29,1001388,1001130100,Chinatown                                                                  
02M500,Unity Center for Urban Technologies,M,"111 East 33rd Street, Manhattan NY 10016(40.74651, -73.98107)",212-576-0530,212-576-0562,fdelarosa@schools.nyc.gov,schools.nyc.gov/SchoolPortals/02/M500,"4, 5, 7, S to Grand Central-42nd St; 6 to 33rd St; B, D, F, M, N, Q, R to 34th St-Herald Square","BM1, BM2, BM3, BM4, BM5, BxM1, BxM10, BxM11, BxM18, BxM2, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M34A-SBS, M34-SBS, M4, M42, M5, M7, M9, Q32, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM31, QM32, QM34, QM35, QM36, QM4, QM40, QM42, QM44, QM5, QM6, X1, X10, X10B, X12, X14, X17, X17J, X2, X21, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68, X7, X9",261,8:15am,3:07pm,111 East 33rd Street,Manhattan,10016,NY,MANHATTAN,6 40.7465,-73.98107,5,2,72,1087537,1008897501,Murray Hill-Kips Bay                                                       
14K614,Young Women's Leadership School of Brooklyn (TYWLS),K,"325 Bushwick Avenue, Brooklyn NY 11206(40.705005, -73.93879)",718-387-5641,,admissions@tywlsbrooklyn.org,tywlsbrooklyn.org,"J, M to Flushing Ave; L to Montrose Ave","B15, B43, B46, B47, B48, B57, B60, Q54, Q59",394,7:45am,2:45pm,325 Bushwick Avenue,Brooklyn,11206,NY,BROOKLYN ,40.705,-73.93879,1,34,485,3071418,3030910001,Bushwick South                                                             
05M367,Academy for Social Action,M,"509 West 129th Street, Manhattan NY 10027(40.815747, -73.95552)",212-543-6301,212-234-8597,KCox2@schools.nyc.gov,schools.nyc.gov/SchoolPortals/05/M367,"1, A, B, C, D to 125th St","Bx15, Bx33, M10, M100, M101, M104, M11, M3, M4, M5, M60-SBS",128,8:15am,3:22pm,509 West 129th Street,Manhattan,10027,NY,MANHATTAN,40.81574,-73.95552,9,7,219,1059723,1019840033,Manhattanville                                                             
15K463,Secondary School for Journalism,K,"237 7th Avenue, Brooklyn NY 11215(40.669255, -73.97858)",718-832-4201,718-832-0273,mwillia30@schools.nyc.gov,schools.nyc.gov/SchoolPortals/15/K463,"F, G to 7th Ave; R to 4th Ave-9th St","B103, B61, B63, B67, B69",236,8:15am,2:36pm,237 7th Avenue,Brooklyn,11215,NY,BROOKLYN ,40.66925,-73.97858,6,39,155,3025510,3010820001,Park Slope-Gowanus                                                         
15K519,Cobble Hill School of American Studies,K,"347 Baltic Street, Brooklyn NY 11201(40.684869, -73.990884)",718-403-9544,718-403-9553,mbruno2@schools.nyc.gov,cobblehillhighschool.org,"2, 3 to Hoyt St-Fulton Mall; A, C to Hoyt & Schermerhorn; F, G to Bergen St","B103, B37, B41, B45, B57, B61, B62, B63, B65, B67",598,8am,3pm,347 Baltic Street,Brooklyn,11201,NY,BROOKLYN ,40.684869,-73.990884,6,33,69,3006356,3003970011,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
02M399,The High School For Language And Diplomacy,M,"40 Irving Place, Manhattan NY 10003(40.735361, -73.987064)",212-253-2480,212-253-2539,Janders12@schools.nyc.gov,hsflad.org,"1, 2, 3, F, M to 14th St - 6th Ave; 4, 5, 6, L, N, Q, R to 14th St-Union Square; L to 3rd Ave","BM1, BM2, BM3, BM4, BxM10, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M5, M7, M8, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9",402,8:15am,3:30pm,40 Irving Place,Manhattan,10003,NY,MANHATTAN,40.735361,-73.987064,6,2,50,1017828,1008720057,Gramercy                                                                   
27Q314,Epic High School - South,Q,"121-10 Rockaway Boulevard, South Ozone Park NY 11420(40.675021, -73.81673)",718-845-1290,718-843-2072,info@epicschoolsnyc.org,epicschoolsnyc.org,N/A,"Q10, Q37, Q7, Q9, QM18",263,9am,4pm,121-10 Rockaway Boulevard,South Ozone Park,11420,NY,QUEENS   ,40.67502,-73.81673,10,28,840,4253607,4117140100,South Ozone Park                                                           
09X324,Bronx Early College Academy for Teaching & Learning,X,"250 East 164th Street, Bronx NY 10456(40.828009, -73.917705)",718-681-8287,718-681-8650,awashington2@schools.nyc.gov,schools.nyc.gov/SchoolPortals/09/X324,"4, D to 161st St-Yankee Stadium; B, D to 167th St","Bx1, Bx13, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, Bx6, BxM4",549,8am,3pm,250 East 164th Street,Bronx,10456,NY,BRONX    ,40.828009,-73.917705,4,16,18302,2002497,2024460043,East Concourse-Concourse Village                                           
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",K,"49 Flatbush Avenue Extension, Brooklyn NY 11201(40.69733, -73.984528)",718-243-9413,718-243-1016,13K419@schools.nyc.gov,scienceskillscenterhs.org/,"2, 3, 4, 5 to Court St-Borough Hall; A, C to High St; B, Q to DeKalb Ave; F to York St; R to Jay St-MetroTech","B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B65, B67, B69",544,8:07am,3:40pm,49 Flatbush Avenue Extension,Brooklyn,11201,NY,BROOKLYN ,40.69733,-73.984528,2,33,15,3000216,3001200020,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
08X376,Antonia Pantoja Preparatory Academy: A College Board School,X,"1980 Lafayette Avenue, Bronx NY 10473(40.821218, -73.85593)",718-824-3152,718-824-3543,nsingh4@schools.nyc.gov,schools.nyc.gov/schoolportals/08/X376,N/A,"Bx22, Bx27, Bx36, Bx39, Bx5, BxM8",420,8:15am,2:35pm,1980 Lafayette Avenue,Bronx,10473,NY,BRONX    ,40.82121,-73.85593,9,18,16,2022205,2036040039,Soundview-Castle Hill-Clason Point-Harding Park                            
12X251,Explorations Academy,X,"1619 Boston Road, Bronx NY 10460(40.836245, -73.890591)",718-893-6173,718-893-6439,krodriguez10@schools.nyc.gov,explorationsnyc.us,"2, 5 to 174th St","Bx11, Bx17, Bx19, Bx21, Bx36",344,8am,3:50pm,1619 Boston Road,Bronx,10460,NY,BRONX    ,40.836245,-73.890591,3,17,155,2009867,2029390093,Crotona Park East                                                          
06M293,City College Academy of the Arts,M,"4600 Broadway, Manhattan NY 10040(40.860951, -73.930082)",212-567-3164,212-567-3958,BDrysdale@schools.nyc.gov,schools.nyc.gov/SchoolPortals/06/M293,1 to Dyckman St; A to 190th St,"Bx7, BxM1, M100, M101, M3, M4, M98",598,8:15am,4pm,4600 Broadway,Manhattan,10040,NY,MANHATTAN,40.860951,-73.930082,12,10,285,1076756,1021720016,Washington Heights North                                                   
22K555,Brooklyn College Academy,K,"350 Coney Island Avenue, Brooklyn NY 11218(40.649055, -73.972312)",718-853-6184,718-853-6356,mmalone3@schools.nyc.gov,brooklyncollegeacademy.com,"B, Q to Church Ave; F, G to Fort Hamilton Parkway","B103, B16, B35, B67, B68, B69, BM3, BM4",618,8am,3pm,350 Coney Island Avenue,Brooklyn,11218,NY,BROOKLYN ,40.649055,-73.972312,7,39,504,3328370,3053220069,Windsor Terrace                                                            
02M425,Leadership and Public Service High School,M,"90 Trinity Place, Manhattan NY 10006(40.708971, -74.012465)",212-346-0007,212-346-0612,vcasey@schools.nyc.gov,leadershipnyc.org,"1, R to Rector St; 2, 3, A, C to Fulton St-Broadway-Nassau; 4, 5 to Wall St; 6 to Brooklyn Bridge-City Hall; E to World Trade Center; J, Z to Broad St; N to South Ferry","BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M20, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X37, X38, X4, X42, X5, X7, X8, X9",608,8:30am,3:20pm,90 Trinity Place,Manhattan,10006,NY,MANHATTAN,40.708971,-74.012465,1,1,13,1001035,1000510015,Battery Park City-Lower Manhattan                                          
